Era,Series Title,Parent Authority,Result,Authority ID,Resolved Authority ID,Publishing Era,Status
Rebirth,The Unexpected,DC Universe,Added,SER-01540,SER-01540,Rebirth,Assigned
Rebirth,The Terrifics,The Terrifics,Already present,,SER-00862,Rebirth,Assigned
Rebirth,Injustice 2,DC Universe,Already present,,SER-01069,Rebirth,Assigned
Rebirth,Injustice vs. Masters of the Universe,DC Universe,Added,SER-01541,SER-01541,Rebirth,Assigned
Rebirth,Batman/Teenage Mutant Ninja Turtles II,DC Universe,Added,SER-01542,SER-01542,Rebirth,Assigned
Rebirth,Batman/Teenage Mutant Ninja Turtles III,DC Universe,Added,SER-01543,SER-01543,Rebirth,Assigned
Rebirth,Batman/Elmer Fudd,DC Universe,Added,SER-01544,SER-01544,Rebirth,Assigned
Rebirth,DC Meets Hanna-Barbera,DC Universe,Added,SER-01545,SER-01545,Rebirth,Assigned
Rebirth,Superman/Top Cat Special,DC Universe,Added,SER-01546,SER-01546,Rebirth,Assigned
Rebirth,Flash/Speed Buggy Special,DC Universe,Added,SER-01547,SER-01547,Rebirth,Assigned
Rebirth,Green Lantern/Huckleberry Hound Special,DC Universe,Added,SER-01548,SER-01548,Rebirth,Assigned
Rebirth,Deathstroke/Yogi Bear Special,DC Universe,Added,SER-01549,SER-01549,Rebirth,Assigned
Rebirth,Aquaman/Jabberjaw Special,DC Universe,Added,SER-01550,SER-01550,Rebirth,Assigned
Rebirth,Black Lightning/Hong Kong Phooey Special,DC Universe,Added,SER-01551,SER-01551,Rebirth,Assigned
Rebirth,Ghosts,DC Universe,Added,SER-01552,SER-01552,Rebirth,Assigned
Rebirth,Dog Days of Summer,DC Universe,Added,SER-01553,SER-01553,Rebirth,Assigned
Rebirth,Mysteries of Love in Space,DC Universe,Added,SER-01554,SER-01554,Rebirth,Assigned
Rebirth,Nuclear Winter Special,DC Universe,Added,SER-01555,SER-01555,Rebirth,Assigned
DC Universe,Justice League: No Justice,Justice League,Already present,,SER-01054,DC Universe,Assigned
DC Universe,Justice League Odyssey,Justice League Odyssey,Already present,,SER-00420,DC Universe,Assigned
DC Universe,Batman and the Outsiders,Batman,Already present,,SER-00825,DC Universe,Assigned
DC Universe,Batman: Universe,Batman,Added,SER-01556,SER-01556,DC Universe,Assigned
DC Universe,Batman: Pennyworth R.I.P.,Batman,Added,SER-01557,SER-01557,DC Universe,Assigned
DC Universe,Batman: Kings of Fear,Batman,Added,SER-01558,SER-01558,DC Universe,Assigned
DC Universe,Batman: Last Knight on Earth,Batman,Already present,,SER-00086,DC Universe,Assigned
DC Universe,Batman/Superman,Batman,Already present,,SER-00982,DC Universe,Assigned
DC Universe,Batman: Curse of the White Knight,Batman,Already present,,SER-00084,DC Universe,Assigned
DC Universe,Batman: The Smile Killer,Batman,Added,SER-01559,SER-01559,DC Universe,Assigned
DC Universe,Batman: Three Jokers,Batman,Already present,,SER-00087,DC Universe,Assigned
DC Universe,Joker: Killer Smile,Batman,Added,SER-01560,SER-01560,DC Universe,Assigned
DC Universe,Harleen,Harley Quinn,Added,SER-01561,SER-01561,DC Universe,Assigned
DC Universe,Harley Quinn and the Birds of Prey,Harley Quinn,Added,SER-01562,SER-01562,DC Universe,Assigned
DC Universe,Superman's Pal Jimmy Olsen,Superman,Added,SER-01563,SER-01563,DC Universe,Assigned
DC Universe,Lois Lane,Superman,Added,SER-01564,SER-01564,DC Universe,Assigned
DC Universe,Event Leviathan,Superman,Added,SER-01565,SER-01565,DC Universe,Assigned
DC Universe,Leviathan Dawn,Superman,Added,SER-01566,SER-01566,DC Universe,Assigned
DC Universe,Legion of Super-Heroes,Superman,Already present,,SER-00434,DC Universe,Assigned
DC Universe,Wonder Woman: Come Back to Me,Wonder Woman,Added,SER-01567,SER-01567,DC Universe,Assigned
DC Universe,Wonder Woman: Dead Earth,Wonder Woman,Already present,,SER-00980,DC Universe,Assigned
DC Universe,Wonder Woman: Evolution,Wonder Woman,Added,SER-01568,SER-01568,DC Universe,Assigned
DC Universe,The Green Lantern,Green Lantern,Already present,,SER-01870,DC Universe,Created exact-title authority
DC Universe,The Green Lantern: Blackstars,Green Lantern,Added,SER-01569,SER-01569,DC Universe,Assigned
DC Universe,Far Sector,Green Lantern,Already present,,SER-01046,DC Universe,Assigned
DC Universe,Flash Forward,The Flash,Added,SER-01570,SER-01570,DC Universe,Assigned
DC Universe,The Flash: Fastest Man Alive,The Flash,Added,SER-01571,SER-01571,DC Universe,Assigned
DC Universe,Shazam!,Shazam / Captain Marvel,Already present,,SER-00665,DC Universe,Assigned
DC Universe,Hawkman,Hawkman,Already present,,SER-00341,DC Universe,Assigned
DC Universe,Aquaman: Deep Dives,Aquaman,Added,SER-01572,SER-01572,DC Universe,Assigned
DC Universe,Year of the Villain: Hell Arisen,DC Universe,Added,SER-01573,SER-01573,DC Universe,Assigned
DC Universe,Dark Nights: Death Metal,DC Universe,Added,SER-01574,SER-01574,DC Universe,Assigned
DC Universe,Dark Nights: Death Metal – Legends of the Dark Knights,DC Universe,Added,SER-01575,SER-01575,DC Universe,Assigned
